,id_artists,name,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist,link
0,1vwwjIPFeYoRfAUCqqO6cZ,Bittersweet,7yUiFMJyShsfmY8TxJAO76,28,0.694,0.549,2,-11.031,1,0.0299,0.171,0.448,0.102,0.674,111.977,194755,44phantom,https://open.spotify.com/track/7yUiFMJyShsfmY8TxJAO76
1,77SW9BnxLY8rJ0RciFqkHh,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,88,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,The Neighbourhood,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
2,26T3LtbuGT1Fu9m0eRq5X3,Cold Cold Cold,1Q3t9fWvHUXKsMmpD2XpUu,72,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,214387,Cage The Elephant,https://open.spotify.com/track/1Q3t9fWvHUXKsMmpD2XpUu
3,7gHscNMDI8FF8pcgrV8eIn,Me and My Friends Are Lonely,1lLGOHbOgsrJ2tFQYKNK44,55,0.668,0.491,0,-8.997,0,0.111,0.0558,0.0,0.15,0.49,74.028,180320,Matt Maeson,https://open.spotify.com/track/1lLGOHbOgsrJ2tFQYKNK44
4,7gHscNMDI8FF8pcgrV8eIn,Hallucinogenics,6bLU8e0LGyztE9iD5DWBQ1,73,0.549,0.653,0,-7.47,1,0.0503,0.457,0.0,0.0969,0.287,121.348,187173,Matt Maeson,https://open.spotify.com/track/6bLU8e0LGyztE9iD5DWBQ1
5,2RQXRUsr4IW1f3mKyKsy4B,False Confidence,7nDFTHHwfe32a8qdp9XqPy,71,0.414,0.663,6,-7.77,1,0.0456,0.163,0.0,0.138,0.33,108.98,223400,Noah Kahan,https://open.spotify.com/track/7nDFTHHwfe32a8qdp9XqPy
6,7FU0xCgmSYQEiBeevUqQ4S,Truly Madly Deeply - Recorded at Spotify Studios NYC,0ApIlfcdY0hVdVEVUyS2Zf,69,0.675,0.368,0,-14.072,0,0.0375,0.83,0.00158,0.136,0.176,106.004,190393,Yoke Lore,https://open.spotify.com/track/0ApIlfcdY0hVdVEVUyS2Zf
7,26T3LtbuGT1Fu9m0eRq5X3,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,80,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98,208760,Cage The Elephant,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
8,77SW9BnxLY8rJ0RciFqkHh,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,The Neighbourhood,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
9,6VsE82GTo7eDAW9XaDO7wD,Color TV,08a18qDOJGR3UX9rg9Ky8v,42,0.285,0.64,6,-7.924,1,0.031,0.11,0.0231,0.0897,0.33,139.342,275358,Deal Casino,https://open.spotify.com/track/08a18qDOJGR3UX9rg9Ky8v
10,26T3LtbuGT1Fu9m0eRq5X3,Telescope,0tkBOcK7oRVXQJY97zzSvr,66,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,228293,Cage The Elephant,https://open.spotify.com/track/0tkBOcK7oRVXQJY97zzSvr
11,1KP6TWI40m7p3QBTU6u2xo,Clouds,03v70ZBxmcPX3RWAZMzqaW,62,0.644,0.478,11,-6.469,1,0.0529,0.194,0.00376,0.106,0.496,159.898,190253,BÃ˜RNS,https://open.spotify.com/track/03v70ZBxmcPX3RWAZMzqaW
12,7gHscNMDI8FF8pcgrV8eIn,Mr. Rattlebone,29kJ0JenZ8QsEzw12RYIdc,52,0.535,0.398,7,-8.973,1,0.0245,0.4,0.00522,0.157,0.249,81.948,254533,Matt Maeson,https://open.spotify.com/track/29kJ0JenZ8QsEzw12RYIdc
13,0xPoVNPnxIIUS1vrxAYV00,High Tops,1TPgw76OuRx2VA390Kjari,63,0.557,0.458,7,-5.127,1,0.0306,0.0499,5.67e-05,0.176,0.262,128.126,238200,Del Water Gap,https://open.spotify.com/track/1TPgw76OuRx2VA390Kjari
14,0NIPkIjTV8mB795yEIiPYL,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,83,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,Wallows,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
15,0NIPkIjTV8mB795yEIiPYL,Pleaser,11zf7m4vw9Ze7cer9Nyhk1,72,0.497,0.914,9,-4.308,1,0.0455,0.126,1.98e-05,0.274,0.385,148.893,187896,Wallows,https://open.spotify.com/track/11zf7m4vw9Ze7cer9Nyhk1
16,7FKTg75ADVMZgY3P9ZMRtH,August,0elCmyfISzkP5tAYTVuYjS,61,0.45,0.602,6,-4.301,1,0.0273,0.0892,0.00625,0.107,0.16,172.161,261734,Flipturn,https://open.spotify.com/track/0elCmyfISzkP5tAYTVuYjS
17,4hz8tIajF2INpgM0qzPJz2,First Class,7trx783SvnHhKkmgSSTIFJ,66,0.554,0.337,1,-10.189,1,0.0351,0.581,0.0,0.0871,0.216,89.961,343485,Rainbow Kitten Surprise,https://open.spotify.com/track/7trx783SvnHhKkmgSSTIFJ
18,16oZKvXb6WkQlVAjwo2Wbg,Ophelia,5NORWMFC27ywGSZxi8uquP,80,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,The Lumineers,https://open.spotify.com/track/5NORWMFC27ywGSZxi8uquP
